"indicator","index.rate","target","points","max","percent.points","state.avg","school_code","year"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","0570611","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","100.0% | 84.6% ","75% ",50,50,100,"89.2% | 50.5%","0570611","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","0570611","201516"
"ELA: All Students ","85.9 ","75 ",100,100,100,"67.9","0570711","201415"
"ELA: High Needs Students ","72.1 ","75 ",96.2,100,96.2,"56.7","0570711","201415"
"Math: All Students ","78.7 ","75 ",100,100,100,"59.3","0570711","201415"
"Math: High Needs Students ","64.8 ","75 ",86.4,100,86.4,"47.8","0570711","201415"
"Science: All Students ","78.4 ","75 ",100,100,100,"56.5","0570711","201415"
"Science: High Needs Students ","N/A ","75 ",0,0,0,"45.9","0570711","201415"
"Chronic absenteeism: All Students ","1.2% ","<=5% ",50,50,100,"10.6%","0570711","201415"
"Chronic absenteeism: High Needs Students ","1.1% ","<=5% ",50,50,100,"17.3%","0570711","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","0570711","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","0570711","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","N/A | N/A ","75% ",0,50,0,"87.6% | 51.0%","0570711","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","0570711","201415"
"Accountability Index ","","",582.6,650,89.6,"","0570711","201415"
"ELA Performance index: All Students ","87.2 ","75 ",50,50,100,"67.7","0570711","201516"
"ELA Performance index: High Needs Students ","75.5 ","75 ",50,50,100,"56.7","0570711","201516"
"Math Performance index: All Students ","80.0 ","75 ",50,50,100,"61.4","0570711","201516"
"Math Performance index: High Needs Students ","66.1 ","75 ",44.1,50,88.2,"49.9","0570711","201516"
"Science Performance index: All Students ","72.1 ","75 ",48.1,50,96.1,"57.5","0570711","201516"
"Science Performance index: High Needs Students ","60.9 ","75 ",40.6,50,81.2,"47.0","0570711","201516"
"ELA Academic growth: ELA Performance index: All Students ","80.3% ","100% ",80.3,100,80.3,"63.8%","0570711","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","78.1% ","100% ",78.1,100,78.1,"58.3%","0570711","201516"
"Math Academic growth: Math Performance index: All Students ","84.3% ","100% ",84.3,100,84.3,"65.0%","0570711","201516"
"Math Academic growth: Math Performance index: High Needs Students ","86.3% ","100% ",86.3,100,86.3,"57.4%","0570711","201516"
"Chronic absenteeism: Science Performance index: All Students ","0.8% ","<=5% ",50,50,100,"9.6%","0570711","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","1.8% ","<=5% ",50,50,100,"15.6%","0570711","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","0570711","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","0570711","201516"
"On-track to High School Graduation ","N/A ","94% ",0,0,0,"85.1%","0570711","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","0570711","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","0570711","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","0570711","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","85.1% | 74.6% ","75% ",24.9,50,49.7,"89.2% | 50.5%","0570711","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","0570711","201516"
"ELA: All Students ","87.3 ","75 ",100,100,100,"67.9","0570811","201415"
"ELA: High Needs Students ","78.4 ","75 ",100,100,100,"56.7","0570811","201415"
"Math: All Students ","82.7 ","75 ",100,100,100,"59.3","0570811","201415"
"Math: High Needs Students ","74.2 ","75 ",99,100,99,"47.8","0570811","201415"
"Science: All Students ","70.7 ","75 ",94.2,100,94.2,"56.5","0570811","201415"
"Science: High Needs Students ","N/A ","75 ",0,0,0,"45.9","0570811","201415"
"Chronic absenteeism: All Students ","1.4% ","<=5% ",50,50,100,"10.6%","0570811","201415"
"Chronic absenteeism: High Needs Students ","4.2% ","<=5% ",50,50,100,"17.3%","0570811","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","0570811","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","0570811","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","100.0% | 89.6% ","75% ",50,50,100,"87.6% | 51.0%","0570811","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","0570811","201415"
"Accountability Index ","","",643.2,650,99,"","0570811","201415"
"ELA Performance index: All Students ","87.0 ","75 ",50,50,100,"67.7","0570811","201516"
"ELA Performance index: High Needs Students ","N/A ","75 ",0,0,0,"56.7","0570811","201516"
"Math Performance index: All Students ","82.2 ","75 ",50,50,100,"61.4","0570811","201516"
"Math Performance index: High Needs Students ","N/A ","75 ",0,0,0,"49.9","0570811","201516"
"Science Performance index: All Students ","70.0 ","75 ",46.7,50,93.3,"57.5","0570811","201516"
"Science Performance index: High Needs Students ","N/A ","75 ",0,0,0,"47.0","0570811","201516"
"ELA Academic growth: ELA Performance index: All Students ","76.9% ","100% ",76.9,100,76.9,"63.8%","0570811","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","100% ",0,0,0,"58.3%","0570811","201516"
"Math Academic growth: Math Performance index: All Students ","68.6% ","100% ",68.6,100,68.6,"65.0%","0570811","201516"
"Math Academic growth: Math Performance index: High Needs Students ","N/A ","100% ",0,0,0,"57.4%","0570811","201516"
"Chronic absenteeism: Science Performance index: All Students ","0.8% ","<=5% ",50,50,100,"9.6%","0570811","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","0.0% ","<=5% ",50,50,100,"15.6%","0570811","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","0570811","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","0570811","201516"
"On-track to High School Graduation ","N/A ","94% ",0,0,0,"85.1%","0570811","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","0570811","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","0570811","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","0570811","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","98.4% | 85.0% ","75% ",50,50,100,"89.2% | 50.5%","0570811","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","0570811","201516"
"ELA: All Students ","84.2 ","75 ",100,100,100,"67.9","0570911","201415"
"ELA: High Needs Students ","71.7 ","75 ",95.6,100,95.6,"56.7","0570911","201415"
"Math: All Students ","77.3 ","75 ",100,100,100,"59.3","0570911","201415"
"Math: High Needs Students ","66.9 ","75 ",89.3,100,89.3,"47.8","0570911","201415"
"Science: All Students ","64.7 ","75 ",86.2,100,86.2,"56.5","0570911","201415"
"Science: High Needs Students ","N/A ","75 ",0,0,0,"45.9","0570911","201415"
"Chronic absenteeism: All Students ","1.0% ","<=5% ",50,50,100,"10.6%","0570911","201415"
"Chronic absenteeism: High Needs Students ","0.0% ","<=5% ",50,50,100,"17.3%","0570911","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","0570911","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","0570911","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","100.0% | 86.3% ","75% ",50,50,100,"87.6% | 51.0%","0570911","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","0570911","201415"
"Accountability Index ","","",621.1,650,95.6,"","0570911","201415"
"ELA Performance index: All Students ","86.8 ","75 ",50,50,100,"67.7","0570911","201516"
"ELA Performance index: High Needs Students ","77.6 ","75 ",50,50,100,"56.7","0570911","201516"
"Math Performance index: All Students ","84.0 ","75 ",50,50,100,"61.4","0570911","201516"
"Math Performance index: High Needs Students ","75.9 ","75 ",50,50,100,"49.9","0570911","201516"
"Science Performance index: All Students ","68.3 ","75 ",45.5,50,91,"57.5","0570911","201516"
"Science Performance index: High Needs Students ","N/A ","75 ",0,0,0,"47.0","0570911","201516"
"ELA Academic growth: ELA Performance index: All Students ","82.0% ","100% ",82,100,82,"63.8%","0570911","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","100% ",0,0,0,"58.3%","0570911","201516"
"Math Academic growth: Math Performance index: All Students ","87.7% ","100% ",87.7,100,87.7,"65.0%","0570911","201516"
"Math Academic growth: Math Performance index: High Needs Students ","N/A ","100% ",0,0,0,"57.4%","0570911","201516"
"Chronic absenteeism: Science Performance index: All Students ","1.7% ","<=5% ",50,50,100,"9.6%","0570911","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","1.8% ","<=5% ",50,50,100,"15.6%","0570911","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","0570911","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","0570911","201516"
"On-track to High School Graduation ","N/A ","94% ",0,0,0,"85.1%","0570911","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","0570911","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","0570911","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","0570911","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","100.0% | 77.2% ","75% ",50,50,100,"89.2% | 50.5%","0570911","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","0570911","201516"
"ELA: All Students ","86.4 ","75 ",100,100,100,"67.9","0571011","201415"
"ELA: High Needs Students ","73.5 ","75 ",98,100,98,"56.7","0571011","201415"
"Math: All Students ","82.8 ","75 ",100,100,100,"59.3","0571011","201415"
"Math: High Needs Students ","70.6 ","75 ",94.1,100,94.1,"47.8","0571011","201415"
"Science: All Students ","64.1 ","75 ",85.5,100,85.5,"56.5","0571011","201415"
"Science: High Needs Students ","N/A ","75 ",0,0,0,"45.9","0571011","201415"
"Chronic absenteeism: All Students ","1.8% ","<=5% ",50,50,100,"10.6%","0571011","201415"
"Chronic absenteeism: High Needs Students ","2.8% ","<=5% ",50,50,100,"17.3%","0571011","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","0571011","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","0571011","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","94.6% | 90.9% ","75% ",50,50,100,"87.6% | 51.0%","0571011","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","0571011","201415"
"Accountability Index ","","",627.6,650,96.6,"","0571011","201415"
"ELA Performance index: All Students ","88.8 ","75 ",50,50,100,"67.7","0571011","201516"
"ELA Performance index: High Needs Students ","77.1 ","75 ",50,50,100,"56.7","0571011","201516"
"Math Performance index: All Students ","84.3 ","75 ",50,50,100,"61.4","0571011","201516"
"Math Performance index: High Needs Students ","72.1 ","75 ",48.1,50,96.2,"49.9","0571011","201516"
"Science Performance index: All Students ","70.9 ","75 ",47.3,50,94.6,"57.5","0571011","201516"
"Science Performance index: High Needs Students ","N/A ","75 ",0,0,0,"47.0","0571011","201516"
"ELA Academic growth: ELA Performance index: All Students ","86.4% ","100% ",86.4,100,86.4,"63.8%","0571011","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","100% ",0,0,0,"58.3%","0571011","201516"
"Math Academic growth: Math Performance index: All Students ","77.9% ","100% ",77.9,100,77.9,"65.0%","0571011","201516"
"Math Academic growth: Math Performance index: High Needs Students ","N/A ","100% ",0,0,0,"57.4%","0571011","201516"
"Chronic absenteeism: Science Performance index: All Students ","1.1% ","<=5% ",50,50,100,"9.6%","0571011","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","0.0% ","<=5% ",50,50,100,"15.6%","0571011","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","0571011","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","0571011","201516"
"On-track to High School Graduation ","N/A ","94% ",0,0,0,"85.1%","0571011","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","0571011","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","0571011","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","0571011","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","97.3% | 83.1% ","75% ",50,50,100,"89.2% | 50.5%","0571011","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","0571011","201516"
"ELA: All Students ","82.2 ","75 ",100,100,100,"67.9","0571111","201415"
"ELA: High Needs Students ","N/A ","75 ",0,0,0,"56.7","0571111","201415"
"Math: All Students ","78.4 ","75 ",100,100,100,"59.3","0571111","201415"
"Math: High Needs Students ","N/A ","75 ",0,0,0,"47.8","0571111","201415"
"Science: All Students ","58.9 ","75 ",78.5,100,78.5,"56.5","0571111","201415"
"Science: High Needs Students ","N/A ","75 ",0,0,0,"45.9","0571111","201415"
"Chronic absenteeism: All Students ","3.3% ","<=5% ",50,50,100,"10.6%","0571111","201415"
"Chronic absenteeism: High Needs Students ","10.0% ","<=5% ",40,50,80,"17.3%","0571111","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","0571111","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","0571111","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","100.0% | 84.2% ","75% ",50,50,100,"87.6% | 51.0%","0571111","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","0571111","201415"
"Accountability Index ","","",418.5,450,93,"","0571111","201415"
"ELA Performance index: All Students ","82.1 ","75 ",50,50,100,"67.7","0571111","201516"
"ELA Performance index: High Needs Students ","N/A ","75 ",0,0,0,"56.7","0571111","201516"
"Math Performance index: All Students ","79.8 ","75 ",50,50,100,"61.4","0571111","201516"
"Math Performance index: High Needs Students ","N/A ","75 ",0,0,0,"49.9","0571111","201516"
"Science Performance index: All Students ","68.6 ","75 ",45.7,50,91.5,"57.5","0571111","201516"
"Science Performance index: High Needs Students ","N/A ","75 ",0,0,0,"47.0","0571111","201516"
"ELA Academic growth: ELA Performance index: All Students ","73.7% ","100% ",73.7,100,73.7,"63.8%","0571111","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","100% ",0,0,0,"58.3%","0571111","201516"
"Math Academic growth: Math Performance index: All Students ","76.2% ","100% ",76.2,100,76.2,"65.0%","0571111","201516"
"Math Academic growth: Math Performance index: High Needs Students ","N/A ","100% ",0,0,0,"57.4%","0571111","201516"
"Chronic absenteeism: Science Performance index: All Students ","1.4% ","<=5% ",50,50,100,"9.6%","0571111","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","7.1% ","<=5% ",45.7,50,91.4,"15.6%","0571111","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","0571111","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","0571111","201516"
"On-track to High School Graduation ","N/A ","94% ",0,0,0,"85.1%","0571111","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","0571111","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","0571111","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","0571111","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","96.3% | 100.0% ","75% ",50,50,100,"89.2% | 50.5%","0571111","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","0571111","201516"
"ELA: All Students ","87.5 ","75 ",100,100,100,"67.9","0571311","201415"
"ELA: High Needs Students ","76.6 ","75 ",100,100,100,"56.7","0571311","201415"
"Math: All Students ","83.2 ","75 ",100,100,100,"59.3","0571311","201415"
"Math: High Needs Students ","73.6 ","75 ",98.1,100,98.1,"47.8","0571311","201415"
"Science: All Students ","67.5 ","75 ",90,100,90,"56.5","0571311","201415"
"Science: High Needs Students ","N/A ","75 ",0,0,0,"45.9","0571311","201415"
"Chronic absenteeism: All Students ","0.5% ","<=5% ",50,50,100,"10.6%","0571311","201415"
"Chronic absenteeism: High Needs Students ","0.0% ","<=5% ",50,50,100,"17.3%","0571311","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","0571311","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","0571311","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","93.7% | 78.0% ","75% ",50,50,100,"87.6% | 51.0%","0571311","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","0571311","201415"
"Accountability Index ","","",638.2,650,98.2,"","0571311","201415"
"ELA Performance index: All Students ","86.5 ","75 ",50,50,100,"67.7","0571311","201516"
"ELA Performance index: High Needs Students ","68.8 ","75 ",45.9,50,91.8,"56.7","0571311","201516"
"Math Performance index: All Students ","82.3 ","75 ",50,50,100,"61.4","0571311","201516"
"Math Performance index: High Needs Students ","64.4 ","75 ",42.9,50,85.9,"49.9","0571311","201516"
"Science Performance index: All Students ","72.7 ","75 ",48.5,50,97,"57.5","0571311","201516"
"Science Performance index: High Needs Students ","N/A ","75 ",0,0,0,"47.0","0571311","201516"
"ELA Academic growth: ELA Performance index: All Students ","87.9% ","100% ",87.9,100,87.9,"63.8%","0571311","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","100% ",0,0,0,"58.3%","0571311","201516"
