"category","ela.count","ela.spi","math.count","math.spi","sci.count","sci.spi","school_code","year"
"Hispanic or Latino ","27 ","65.3 ","27 ","56.3 ","9 ","*","0591211","201516"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0591211","201516"
"Two or More Races ","21 ","77.9 ","21 ","71.7 ","* ","*","0591211","201516"
"White ","67 ","75.9 ","67 ","71.9 ","18 ","*","0591211","201516"
"English Language Learners ","* ","* ","* ","* ","* ","*","0591211","201516"
"Non-English Language Learners ","* ","* ","* ","* ","* ","*","0591211","201516"
"Eligible for Free or Reduced-Price Meals ","67 ","71.5 ","67 ","63.7 ","20 ","56.4","0591211","201516"
"Not Eligible for Free or Reduced-Price Meals ","62 ","77.0 ","62 ","73.4 ","14 ","*","0591211","201516"
"Students with Disabilities ","21 ","60.8 ","21 ","50.2 ","* ","*","0591211","201516"
"Students without Disabilities ","108 ","76.7 ","108 ","71.9 ","* ","*","0591211","201516"
"High Needs ","77 ","70.3 ","77 ","62.9 ","22 ","56.8","0591211","201516"
"Non-High Needs ","52 ","79.8 ","52 ","76.5 ","12 ","*","0591211","201516"
"School ","129 ","74.1 ","129 ","68.4 ","34 ","60.6","0591211","201516"
"American Indian or Alaska Native ","0","N/A ","0","N/A ","0 ","N/A","0591711","201415"
"Asian ","12","* ","12","* ","* ","*","0591711","201415"
"Black or African American ","12","* ","12","* ","* ","*","0591711","201415"
"Hispanic or Latino ","26","60.8 ","26","59.9 ","9 ","*","0591711","201415"
"Native Hawaiian or Other Pacific Islander ","0","N/A ","0","N/A ","0 ","N/A","0591711","201415"
"Two or More Races ","11","* ","11","* ","* ","*","0591711","201415"
"White ","50","58.6 ","50","57.9 ","17 ","*","0591711","201415"
"English Language Learners ","9","* ","9","* ","* ","*","0591711","201415"
"Non-English Language Learners ","102","60.4 ","102","59.3 ","* ","*","0591711","201415"
"Eligible for Free or Reduced-Price Meals ","63","60.5 ","63","56.6 ","18 ","*","0591711","201415"
"Not Eligible for Free or Reduced-Price Meals ","48","58.6 ","48","60.2 ","17 ","*","0591711","201415"
"Students with Disabilities ","33","42.9 ","33","42.7 ","12 ","*","0591711","201415"
"Students without Disabilities ","78","66.8 ","78","64.7 ","23 ","58.5","0591711","201415"
"High Needs ","79","56.2 ","79","53.2 ","24 ","47.2","0591711","201415"
"Non-High Needs ","32","68.1 ","32","70.4 ","11 ","*","0591711","201415"
"School ","111","59.7 ","111","58.2 ","35 ","52.0","0591711","201415"
"Asian ","9 ","* ","8 ","* ","* ","*","0591711","201516"
"Black or African American ","13 ","* ","13 ","* ","* ","*","0591711","201516"
"Hispanic or Latino ","22 ","67.0 ","22 ","68.0 ","* ","*","0591711","201516"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0591711","201516"
"Two or More Races ","10 ","* ","10 ","* ","* ","*","0591711","201516"
"White ","53 ","70.3 ","53 ","69.9 ","14 ","*","0591711","201516"
"English Language Learners ","* ","* ","* ","* ","* ","*","0591711","201516"
"Non-English Language Learners ","* ","* ","* ","* ","* ","*","0591711","201516"
"Eligible for Free or Reduced-Price Meals ","61 ","67.7 ","61 ","66.5 ","14 ","*","0591711","201516"
"Not Eligible for Free or Reduced-Price Meals ","46 ","71.3 ","45 ","68.9 ","15 ","*","0591711","201516"
"Students with Disabilities ","25 ","53.5 ","25 ","51.2 ","9 ","*","0591711","201516"
"Students without Disabilities ","82 ","74.1 ","81 ","72.5 ","20 ","55.8","0591711","201516"
"High Needs ","74 ","65.3 ","74 ","63.8 ","19 ","*","0591711","201516"
"Non-High Needs ","33 ","78.2 ","32 ","76.1 ","10 ","*","0591711","201516"
"School ","107 ","69.3 ","106 ","67.5 ","29 ","51.5","0591711","201516"
"American Indian or Alaska Native ","0 ","* ","0 ","* ","0 ","*","0591811","201415"
"Asian ","* ","* ","* ","* ","* ","*","0591811","201415"
"Black or African American ","* ","* ","* ","* ","* ","*","0591811","201415"
"Hispanic or Latino ","12 ","* ","12 ","* ","* ","*","0591811","201415"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0591811","201415"
"Two or More Races ","7 ","* ","7 ","* ","* ","*","0591811","201415"
"White ","76 ","75.8 ","76 ","70.9 ","22 ","61.6","0591811","201415"
"English Language Learners ","0 ","N/A ","0 ","N/A ","0 ","N/A","0591811","201415"
"Non-English Language Learners ","105 ","75.2 ","105 ","70.3 ","32 ","60.9","0591811","201415"
"Eligible for Free or Reduced-Price Meals ","52 ","74.9 ","52 ","69.1 ","15 ","*","0591811","201415"
"Not Eligible for Free or Reduced-Price Meals ","53 ","75.4 ","53 ","71.6 ","17 ","*","0591811","201415"
"Students with Disabilities ","17 ","* ","16 ","* ","8 ","*","0591811","201415"
"Students without Disabilities ","88 ","78.6 ","89 ","73.3 ","24 ","64.1","0591811","201415"
"High Needs ","58 ","73.4 ","58 ","67.6 ","17 ","*","0591811","201415"
"Non-High Needs ","47 ","77.4 ","47 ","73.6 ","15 ","*","0591811","201415"
"School ","105 ","75.2 ","105 ","70.3 ","32 ","60.9","0591811","201415"
"Asian ","* ","* ","* ","* ","0 ","N/A","0591811","201516"
"Black or African American ","6 ","* ","6 ","* ","* ","*","0591811","201516"
"Hispanic or Latino ","12 ","* ","12 ","* ","* ","*","0591811","201516"
"Native Hawaiian or Other Pacific Islander ","* ","* ","* ","* ","0 ","N/A","0591811","201516"
"Two or More Races ","6 ","* ","6 ","* ","* ","*","0591811","201516"
"White ","76 ","78.1 ","76 ","74.6 ","27 ","68.4","0591811","201516"
"English Language Learners ","* ","* ","* ","* ","0 ","N/A","0591811","201516"
"Non-English Language Learners ","* ","* ","* ","* ","35 ","70.0","0591811","201516"
"Eligible for Free or Reduced-Price Meals ","39 ","74.3 ","39 ","67.1 ","12 ","*","0591811","201516"
"Not Eligible for Free or Reduced-Price Meals ","65 ","76.6 ","65 ","74.6 ","23 ","68.6","0591811","201516"
"Students with Disabilities ","22 ","56.6 ","22 ","52.1 ","* ","*","0591811","201516"
"Students without Disabilities ","82 ","80.9 ","82 ","77.0 ","* ","*","0591811","201516"
"High Needs ","50 ","71.8 ","50 ","65.9 ","15 ","*","0591811","201516"
"Non-High Needs ","54 ","79.4 ","54 ","77.2 ","20 ","68.6","0591811","201516"
"School ","104 ","75.7 ","104 ","71.8 ","35 ","70.0","0591811","201516"
"American Indian or Alaska Native ","* ","* ","* ","* ","0 ","*","0591911","201415"
"Asian ","14 ","* ","14 ","* ","6 ","*","0591911","201415"
"Black or African American ","* ","* ","* ","* ","* ","*","0591911","201415"
"Hispanic or Latino ","21 ","69.8 ","21 ","65.5 ","* ","*","0591911","201415"
"Native Hawaiian or Other Pacific Islander ","* ","* ","* ","* ","* ","*","0591911","201415"
"Two or More Races ","9 ","* ","9 ","* ","* ","*","0591911","201415"
"White ","144 ","77.0 ","146 ","69.1 ","61 ","61.4","0591911","201415"
"English Language Learners ","* ","* ","* ","* ","* ","*","0591911","201415"
"Non-English Language Learners ","* ","* ","* ","* ","* ","*","0591911","201415"
"Eligible for Free or Reduced-Price Meals ","43 ","66.9 ","43 ","58.1 ","19 ","*","0591911","201415"
"Not Eligible for Free or Reduced-Price Meals ","149 ","79.1 ","151 ","72.4 ","57 ","64.6","0591911","201415"
"Students with Disabilities ","27 ","53.4 ","27 ","47.1 ","13 ","*","0591911","201415"
"Students without Disabilities ","165 ","80.1 ","167 ","72.8 ","63 ","64.2","0591911","201415"
"High Needs ","59 ","64.0 ","59 ","55.5 ","27 ","47.8","0591911","201415"
"Non-High Needs ","133 ","81.8 ","135 ","75.3 ","49 ","67.8","0591911","201415"
"School ","192 ","76.3 ","194 ","69.2 ","76 ","60.7","0591911","201415"
"Asian ","13 ","* ","13 ","* ","* ","*","0591911","201516"
"Black or African American ","* ","* ","* ","* ","* ","*","0591911","201516"
"Hispanic or Latino ","17 ","* ","17 ","* ","8 ","*","0591911","201516"
"Native Hawaiian or Other Pacific Islander ","* ","* ","* ","* ","0 ","N/A","0591911","201516"
"Two or More Races ","10 ","* ","10 ","* ","* ","*","0591911","201516"
"White ","143 ","78.6 ","143 ","70.6 ","39 ","58.2","0591911","201516"
"English Language Learners ","0 ","N/A ","0 ","N/A ","0 ","N/A","0591911","201516"
"Non-English Language Learners ","189 ","78.1 ","189 ","70.8 ","53 ","57.3","0591911","201516"
"Eligible for Free or Reduced-Price Meals ","53 ","69.4 ","53 ","60.2 ","19 ","*","0591911","201516"
"Not Eligible for Free or Reduced-Price Meals ","136 ","81.4 ","136 ","74.9 ","34 ","60.8","0591911","201516"
"Students with Disabilities ","33 ","57.5 ","33 ","50.6 ","10 ","*","0591911","201516"
"Students without Disabilities ","156 ","82.4 ","156 ","75.1 ","43 ","59.5","0591911","201516"
"High Needs ","71 ","67.2 ","71 ","58.4 ","25 ","50.9","0591911","201516"
"Non-High Needs ","118 ","84.6 ","118 ","78.2 ","28 ","63.0","0591911","201516"
"School ","189 ","78.1 ","189 ","70.8 ","53 ","57.3","0591911","201516"
"American Indian or Alaska Native ","0","N/A ","0","N/A ","0 ","N/A","0592011","201415"
"Asian ","10","* ","10","* ","* ","*","0592011","201415"
"Black or African American ","23","53.3 ","23","50.9 ","12 ","*","0592011","201415"
"Hispanic or Latino ","49","59.0 ","49","49.8 ","17 ","*","0592011","201415"
"Native Hawaiian or Other Pacific Islander ","0","N/A ","0","N/A ","0 ","N/A","0592011","201415"
"Two or More Races ","19","* ","19","* ","* ","*","0592011","201415"
"White ","59","68.0 ","59","64.4 ","22 ","59.8","0592011","201415"
"English Language Learners ","12","* ","12","* ","* ","*","0592011","201415"
"Non-English Language Learners ","148","63.7 ","148","58.6 ","* ","*","0592011","201415"
"Eligible for Free or Reduced-Price Meals ","111","58.5 ","111","53.7 ","36 ","51.3","0592011","201415"
"Not Eligible for Free or Reduced-Price Meals ","49","72.0 ","49","67.3 ","19 ","*","0592011","201415"
"Students with Disabilities ","28","46.2 ","28","43.6 ","11 ","*","0592011","201415"
"Students without Disabilities ","132","66.2 ","132","60.9 ","44 ","57.3","0592011","201415"
"High Needs ","118","58.5 ","118","53.7 ","42 ","50.3","0592011","201415"
"Non-High Needs ","42","74.3 ","42","69.6 ","13 ","*","0592011","201415"
"School ","160","62.7 ","160","57.9 ","55 ","53.9","0592011","201415"
"Asian ","12","* ","12","* ","* ","*","0592011","201516"
"Black or African American ","16","* ","16","* ","* ","*","0592011","201516"
"Hispanic or Latino ","53","58.1 ","53","51.6 ","15 ","*","0592011","201516"
"Native Hawaiian or Other Pacific Islander ","0","N/A ","0","N/A ","0 ","N/A","0592011","201516"
"Two or More Races ","19","* ","19","* ","7 ","*","0592011","201516"
"White ","64","68.7 ","64","64.4 ","21 ","60.3","0592011","201516"
"English Language Learners ","7","* ","7","* ","* ","*","0592011","201516"
"Non-English Language Learners ","157","64.5 ","157","59.9 ","* ","*","0592011","201516"
"Eligible for Free or Reduced-Price Meals ","109","58.6 ","109","53.8 ","38 ","54.8","0592011","201516"
"Not Eligible for Free or Reduced-Price Meals ","55","74.1 ","55","70.6 ","15 ","*","0592011","201516"
"Students with Disabilities ","32","53.1 ","32","48.4 ","10 ","*","0592011","201516"
"Students without Disabilities ","132","66.4 ","132","62.1 ","43 ","57.3","0592011","201516"
"High Needs ","116","59.4 ","116","54.5 ","40 ","54.7","0592011","201516"
"Non-High Needs ","48","74.5 ","48","71.4 ","13 ","*","0592011","201516"
"School ","164","63.8 ","164","59.4 ","53 ","56.5","0592011","201516"
"American Indian or Alaska Native ","* ","* ","* ","* ","* ","*","0595211","201415"
"Asian ","18 ","* ","18 ","* ","7 ","*","0595211","201415"
"Black or African American ","55 ","55.2 ","55 ","47.9 ","28 ","48.0","0595211","201415"
"Hispanic or Latino ","108 ","52.9 ","108 ","45.8 ","36 ","46.9","0595211","201415"
"Native Hawaiian or Other Pacific Islander ","* ","* ","* ","* ","0 ","*","0595211","201415"
"Two or More Races ","31 ","63.1 ","31 ","54.7 ","10 ","*","0595211","201415"
"White ","216 ","65.2 ","215 ","58.8 ","64 ","56.0","0595211","201415"
"English Language Learners ","25 ","40.0 ","25 ","35.9 ","10 ","*","0595211","201415"
"Non-English Language Learners ","407 ","62.1 ","406 ","54.8 ","138 ","53.2","0595211","201415"
"Eligible for Free or Reduced-Price Meals ","268 ","56.0 ","268 ","49.7 ","89 ","50.0","0595211","201415"
"Not Eligible for Free or Reduced-Price Meals ","164 ","68.5 ","163 ","60.3 ","59 ","54.4","0595211","201415"
"Students with Disabilities ","91 ","43.1 ","91 ","40.2 ","41 ","39.7","0595211","201415"
"Students without Disabilities ","341 ","65.5 ","340 ","57.3 ","107 ","56.4","0595211","201415"
"High Needs ","293 ","55.3 ","293 ","49.2 ","107 ","48.3","0595211","201415"
"Non-High Needs ","139 ","72.4 ","138 ","63.4 ","41 ","60.9","0595211","201415"
"School ","432 ","60.8 ","431 ","53.7 ","148 ","51.7","0595211","201415"
"Asian ","20 ","69.6 ","20 ","62.1 ","* ","*","0595211","201516"
"Black or African American ","38 ","52.6 ","39 ","45.6 ","11 ","*","0595211","201516"
"Hispanic or Latino ","104 ","53.7 ","103 ","46.8 ","32 ","50.0","0595211","201516"
"Native Hawaiian or Other Pacific Islander ","* ","* ","* ","* ","* ","*","0595211","201516"
"Two or More Races ","30 ","59.2 ","32 ","52.1 ","13 ","*","0595211","201516"
"White ","210 ","64.5 ","210 ","58.7 ","67 ","61.4","0595211","201516"
"English Language Learners ","21 ","45.4 ","21 ","38.0 ","8 ","*","0595211","201516"
"Non-English Language Learners ","385 ","61.2 ","387 ","55.0 ","119 ","58.1","0595211","201516"
"Eligible for Free or Reduced-Price Meals ","233 ","54.6 ","235 ","49.1 ","71 ","52.8","0595211","201516"
"Not Eligible for Free or Reduced-Price Meals ","173 ","68.3 ","173 ","60.8 ","56 ","63.5","0595211","201516"
"Students with Disabilities ","79 ","43.5 ","79 ","38.5 ","35 ","43.6","0595211","201516"
"Students without Disabilities ","327 ","64.5 ","329 ","57.8 ","92 ","62.8","0595211","201516"
"High Needs ","258 ","54.0 ","260 ","48.7 ","79 ","52.0","0595211","201516"
"Non-High Needs ","148 ","71.5 ","148 ","63.6 ","48 ","66.5","0595211","201516"
"School ","406 ","60.4 ","408 ","54.1 ","127 ","57.5","0595211","201516"
"American Indian or Alaska Native ","7","* ","7","* ","* ","*","0595311","201415"
"Asian ","39","70.4 ","39","66.2 ","14 ","*","0595311","201415"
"Black or African American ","26","61.1 ","26","55.9 ","7 ","*","0595311","201415"
"Hispanic or Latino ","53","62.4 ","53","56.6 ","20 ","56.5","0595311","201415"
"Native Hawaiian or Other Pacific Islander ","0","N/A ","0","N/A ","0 ","N/A","0595311","201415"
"Two or More Races ","17","* ","17","* ","* ","*","0595311","201415"
"White ","300","71.9 ","301","66.2 ","100 ","60.9","0595311","201415"
"English Language Learners ","9","* ","9","* ","* ","*","0595311","201415"
"Non-English Language Learners ","433","69.5 ","434","63.7 ","* ","*","0595311","201415"
"Eligible for Free or Reduced-Price Meals ","128","61.5 ","129","55.5 ","41 ","53.3","0595311","201415"
"Not Eligible for Free or Reduced-Price Meals ","314","72.2 ","314","66.6 ","110 ","60.7","0595311","201415"
"Students with Disabilities ","62","48.0 ","62","44.2 ","21 ","47.4","0595311","201415"
"Students without Disabilities ","380","72.6 ","381","66.5 ","130 ","60.5","0595311","201415"
"High Needs ","166","59.0 ","167","53.7 ","52 ","52.2","0595311","201415"
"Non-High Needs ","276","75.2 ","276","69.2 ","99 ","62.1","0595311","201415"
"School ","442","69.1 ","443","63.4 ","151 ","58.7","0595311","201415"
"Asian ","42 ","72.8 ","42 ","70.3 ","13 ","*","0595311","201516"
"Black or African American ","28 ","58.5 ","28 ","55.0 ","* ","*","0595311","201516"
"Hispanic or Latino ","54 ","59.8 ","55 ","55.7 ","15 ","*","0595311","201516"
"Native Hawaiian or Other Pacific Islander ","* ","* ","* ","* ","0 ","N/A","0595311","201516"
"Two or More Races ","28 ","66.6 ","28 ","60.0 ","11 ","*","0595311","201516"
"White ","326 ","71.0 ","325 ","67.1 ","98 ","59.8","0595311","201516"
"English Language Learners ","10 ","* ","10 ","* ","0 ","N/A","0595311","201516"
"Non-English Language Learners ","476 ","69.3 ","476 ","65.3 ","147 ","57.8","0595311","201516"
"Eligible for Free or Reduced-Price Meals ","154 ","62.1 ","155 ","58.2 ","48 ","49.1","0595311","201516"
"Not Eligible for Free or Reduced-Price Meals ","332 ","72.0 ","331 ","68.1 ","99 ","62.0","0595311","201516"
"Students with Disabilities ","78 ","45.0 ","77 ","41.2 ","16 ","*","0595311","201516"
"Students without Disabilities ","408 ","73.4 ","409 ","69.4 ","131 ","59.9","0595311","201516"
"High Needs ","205 ","58.6 ","205 ","54.7 ","56 ","49.2","0595311","201516"
"Non-High Needs ","281 ","76.4 ","281 ","72.5 ","91 ","63.0","0595311","201516"
"School ","486 ","68.9 ","486 ","65.0 ","147 ","57.8","0595311","201516"
"American Indian or Alaska Native ","* ","* ","* ","* ","* ","*","0596111","201415"
"Asian ","6 ","* ","6 ","* ","16 ","*","0596111","201415"
"Black or African American ","16 ","* ","16 ","* ","25 ","40.2","0596111","201415"
"Hispanic or Latino ","18 ","* ","17 ","* ","45 ","46.1","0596111","201415"
"Native Hawaiian or Other Pacific Islander ","0 ","* ","0 ","* ","* ","*","0596111","201415"
"Two or More Races ","* ","* ","* ","* ","11 ","*","0596111","201415"
"White ","61 ","60.2 ","56 ","49.8 ","156 ","59.6","0596111","201415"
"English Language Learners ","* ","* ","* ","* ","9 ","*","0596111","201415"
"Non-English Language Learners ","* ","* ","* ","* ","249 ","56.3","0596111","201415"
"Eligible for Free or Reduced-Price Meals ","38 ","46.3 ","37 ","35.8 ","77 ","45.8","0596111","201415"
"Not Eligible for Free or Reduced-Price Meals ","70 ","61.0 ","65 ","49.1 ","181 ","59.3","0596111","201415"
"Students with Disabilities ","29 ","43.7 ","27 ","32.4 ","39 ","38.8","0596111","201415"
"Students without Disabilities ","79 ","60.3 ","75 ","48.6 ","219 ","58.2","0596111","201415"
"High Needs ","54 ","46.5 ","52 ","35.5 ","102 ","44.0","0596111","201415"
"Non-High Needs ","54 ","65.1 ","50 ","53.5 ","156 ","62.6","0596111","201415"
"School ","108 ","55.8 ","102 ","44.3 ","258 ","55.2","0596111","201415"
"Asian ","15 ","* ","15 ","* ","18 ","*","0596111","201516"
"Black or African American ","18 ","* ","18 ","* ","26 ","49.3","0596111","201516"
"Hispanic or Latino ","35 ","51.2 ","35 ","46.4 ","25 ","51.3","0596111","201516"
"Native Hawaiian or Other Pacific Islander ","* ","* ","* ","* ","0 ","N/A","0596111","201516"
"Two or More Races ","17 ","* ","17 ","* ","11 ","*","0596111","201516"
"White ","141 ","63.3 ","141 ","59.6 ","153 ","62.4","0596111","201516"
"English Language Learners ","* ","* ","* ","* ","* ","*","0596111","201516"
"Non-English Language Learners ","* ","* ","* ","* ","* ","*","0596111","201516"
