"FTE Staffing Report for Trend"

"",,,,"Year",,,,
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",14.0,13.6,12.6,11.6,13.7
,,="School Nurses",="Non-Certified",1.4,1.4,1.4,1.4,1.5
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",7.6,7.6,8.4,9.8,8.8
,,="Special Education - Teachers and Instructors",="Certified",4.5,4.5,4.1,5.1,5.2
,,="Instructional Specialists Who Support Teachers",="Certified",0.2,0.2,0.3,0.4,0.4
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,.,1.0,1.0
,="Lyme-Old Lyme Middle School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.6,0.6,1.6,2.0,2.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",2.0,2.0,2.0,2.0,2.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",1.0,1.0,1.0,1.0,1.8
,,="General Education - Teachers and Instructors",="Certified",28.0,27.1,27.0,26.0,26.5
,,="Library/Media - Support Staff",="Non-Certified",0.8,0.8,0.8,0.8,0.8
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",8.3,8.3,9.3,9.6,9.1
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",8.0,8.0,9.6,10.4,10.4
,,="Special Education - Teachers and Instructors",="Certified",3.5,3.5,4.1,3.9,4.0
,,="Instructional Specialists Who Support Teachers",="Certified",0.6,0.6,0.7,0.5,0.6
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
,="Mile Creek School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,2.0,1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.0,1.0,1.0,1.0,1.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",5.9,5.9,5.9,5.9,4.7
,,="General Education - Teachers and Instructors",="Certified",17.6,15.5,12.3,14.4,17.4
,,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",7.5,8.5,8.5,8.6,7.4
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",8.5,8.5,8.1,9.7,11.9
,,="Special Education - Teachers and Instructors",="Certified",6.0,5.0,5.0,6.0,3.6
,,="Instructional Specialists Who Support Teachers",="Certified",1.8,1.8,1.9,2.5,2.9
,,="Library/Media - Specialists (Certified)",="Certified",1.0,0.8,0.7,0.6,1.0
="Regional School District 19",="E. O. Smith High School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",6.6,6.6,6.4,5.0,6.8
,,="Counselors  Social Workers  and School Psychologists",="Certified",9.8,9.8,9.8,9.8,9.8
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",1.0,1.0,1.0,5.0,5.0
,,="General Education - Teachers and Instructors",="Certified",89.6,93.4,92.6,91.6,93.2
,,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,2.0,2.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",32.5,32.5,32.5,30.5,28.5
,,="School Nurses",="Non-Certified",3.0,2.0,2.0,2.0,2.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",31.0,31.0,26.0,28.0,32.0
,,="Special Education - Teachers and Instructors",="Certified",13.4,13.4,12.9,14.5,14.8
,,="Instructional Specialists Who Support Teachers",="Certified",1.0,1.0,1.0,1.0,1.0
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
="Ridgefield School District",="Barlow Mountain Elementary School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.0,1.8
,,="Counselors  Social Workers  and School Psychologists",="Certified",2.0,2.0,2.0,2.0,2.6
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.8,0.8,0.0,1.8,1.3
,,="General Education - Teachers and Instructors",="Certified",23.1,22.1,21.5,22.5,25.9
,,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",12.6,29.4,12.6,12.6,12.6
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",20.6,18.7,18.7,17.7,17.7
,,="Special Education - Teachers and Instructors",="Certified",6.0,6.2,7.2,8.2,6.0
,,="Instructional Specialists Who Support Teachers",="Certified",3.2,3.2,3.2,3.0,1.6
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
,="Branchville Elementary School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.0,1.4
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.0,1.0,1.0,1.0,1.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",1.8,1.8,1.8,1.8,1.3
,,="General Education - Teachers and Instructors",="Certified",26.0,26.0,26.5,25.5,24.9
,,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",8.7,9.5,9.9,10.9,10.9
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",5.0,4.0,4.0,4.0,3.0
,,="Special Education - Teachers and Instructors",="Certified",2.0,2.0,2.0,2.0,2.0
,,="Instructional Specialists Who Support Teachers",="Certified",1.2,0.2,0.7,0.5,.
,,"Library/Media - Specialists (Certified)","Certified",1.0,1.0,1.0,1.0,1.0
,="East Ridge Middle School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",3.0,3.0,2.0,2.0,2.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",4.0,4.0,4.0,4.0,6.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",4.5,4.5,4.5,4.5,2.5
,,="General Education - Teachers and Instructors",="Certified",48.9,48.2,49.2,48.8,48.0
,,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,1.0,1.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",16.4,16.5,17.5,17.4,17.4
,,="School Nurses",="Non-Certified",1.0,2.0,2.0,3.0,2.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",7.0,6.0,9.0,7.0,0.0
,,="Special Education - Teachers and Instructors",="Certified",7.0,7.0,7.6,6.0,6.6
,,="Instructional Specialists Who Support Teachers",="Certified",0.6,0.6,0.6,0.6,1.0
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
,="Farmingville Elementary School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.0,1.3
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.0,1.0,1.0,1.0,1.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",1.8,0.8,0.8,1.8,1.3
,,="General Education - Teachers and Instructors",="Certified",21.1,22.0,24.5,23.5,20.9
,,="Library/Media - Support Staff",="Non-Certified",0.0,1.0,0.0,0.0,0.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",9.0,9.4,9.8,10.7,10.7
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",5.0,5.0,3.0,3.0,5.0
,,="Special Education - Teachers and Instructors",="Certified",1.5,1.7,1.7,2.0,2.0
,,="Instructional Specialists Who Support Teachers",="Certified",1.2,1.2,1.2,1.0,1.0
,,="Library/Media - Specialists (Certified)",="Certified",1.0,0.9,1.0,1.0,1.0
,="Ridgebury Elementary School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.0,1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.0,1.0,2.0,2.0,1.4
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",1.8,1.8,1.8,1.8,1.3
,,="General Education - Teachers and Instructors",="Certified",23.1,23.1,24.1,23.6,23.5
,,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",10.6,11.5,11.0,11.5,11.5
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",3.0,3.0,2.0,13.0,14.0
,,="Special Education - Teachers and Instructors",="Certified",3.0,2.5,2.0,2.0,4.0
,,="Instructional Specialists Who Support Teachers",="Certified",1.2,1.2,1.2,1.0,1.0
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
,="Ridgefield High School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",11.2,11.2,9.8,9.0,9.2
,,="Counselors  Social Workers  and School Psychologists",="Certified",11.6,11.6,10.6,10.6,10.6
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",4.0,4.0,4.0,4.0,4.0
,,="General Education - Teachers and Instructors",="Certified",105.8,107.8,109.1,106.7,94.5
,,="Library/Media - Support Staff",="Non-Certified",2.0,2.0,2.0,2.0,2.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",46.1,41.8,40.8,39.9,37.9
,,="School Nurses",="Non-Certified",3.0,2.6,2.6,3.0,3.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",9.0,11.0,11.0,11.0,14.0
,,="Special Education - Teachers and Instructors",="Certified",10.6,9.4,10.1,10.4,13.0
,,="Instructional Specialists Who Support Teachers",="Certified",0.5,0.5,0.5,0.5,0.5
,,="Library/Media - Specialists (Certified)",="Certified",.,2.0,2.0,2.0,2.0
,="Scotland Elementary School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.6,.
,,"Counselors  Social Workers  and School Psychologists","Certified",1.0,1.0,1.0,1.0,2.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",1.0,1.8,1.0,2.8,1.3
,,="General Education - Teachers and Instructors",="Certified",24.0,24.0,24.5,25.5,24.6
,,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",9.0,9.1,10.0,10.5,10.5
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",5.7,8.5,8.0,8.0,9.0
,,="Special Education - Teachers and Instructors",="Certified",2.0,2.8,2.8,2.8,3.0
,,="Instructional Specialists Who Support Teachers",="Certified",0.2,1.2,1.2,1.0,1.5
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
,="Scotts Ridge Middle School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0,2.0,2.0,2.0,2.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",4.0,4.0,4.0,4.0,4.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",3.6,3.6,3.6,3.6,.
,,"General Education - Teachers and Instructors","Certified",24.3,31.8,34.1,34.1,29.8
,,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,.
,,"Other Staff Providing Non-Instructional Services/Support","Certified/Non-Certified",14.5,14.7,14.7,15.7,.
,,"School Nurses","Non-Certified",1.0,1.0,1.0,1.0,.
,,"Special Education - Paraprofessional Instructional Assistants","Non-Certified",7.0,7.0,7.0,3.0,.
,,"Special Education - Teachers and Instructors","Certified",6.0,6.0,5.0,6.0,6.0
,,="Instructional Specialists Who Support Teachers",="Certified",0.5,0.5,0.5,0.5,0.5
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,.
,"Veterans Park Elementary School","Administrators  Coordinators and Department Chairs - School Level","Certified",1.0,1.0,1.0,1.0,1.3
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.0,1.0,1.0,1.0,1.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",1.8,1.8,1.8,2.8,.
,,"General Education - Teachers and Instructors","Certified",22.0,22.9,21.4,20.4,21.5
,,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,.
,,"Other Staff Providing Non-Instructional Services/Support","Certified/Non-Certified",9.0,9.4,9.8,10.8,.
,,"School Nurses","Non-Certified",1.0,1.0,1.0,1.0,.
,,"Special Education - Paraprofessional Instructional Assistants","Non-Certified",5.5,4.9,2.0,2.0,.
,,"Special Education - Teachers and Instructors","Certified",2.6,2.6,1.8,1.8,2.0
,,="Instructional Specialists Who Support Teachers",="Certified",1.2,1.2,1.2,1.0,1.0
,,="Library/Media - Specialists (Certified)",="Certified",1.0,0.9,0.9,0.9,1.0
,="Ridgefield Transition Program",="Special Education - Teachers and Instructors",="Certified",.,.,.,0.2,.
"Rocky Hill School District","Albert D. Griswold Middle School","Administrators  Coordinators and Department Chairs - School Level","Certified",2.0,2.0,2.0,2.0,2.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",3.0,3.0,3.0,3.0,2.4
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",3.2,3.2,3.2,3.7,3.7
,,="General Education - Teachers and Instructors",="Certified",42.0,43.0,42.6,43.0,42.8
,,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,0.5
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",11.7,11.7,11.7,11.9,13.4
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,2.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",11.0,9.0,9.0,10.0,9.6
,,="Special Education - Teachers and Instructors",="Certified",6.0,6.0,6.0,6.0,6.0
,,="Instructional Specialists Who Support Teachers",="Certified",2.0,2.0,2.0,2.0,2.1
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
,="Dr. Oran A. Moser School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",0.4,.,.,.,.
,,"Counselors  Social Workers  and School Psychologists","Certified",0.3,.,.,.,.
,,"General Education - Paraprofessional Instructional Assistants","Non-Certified",2.0,.,.,.,.
,,"General Education - Teachers and Instructors","Certified",6.6,.,.,.,.
,,"Library/Media - Support Staff","Non-Certified",0.1,.,.,.,.
,,"Other Staff Providing Non-Instructional Services/Support","Certified/Non-Certified",3.2,.,.,.,.
,,"School Nurses","Non-Certified",1.0,.,.,.,.
,,"Special Education - Paraprofessional Instructional Assistants","Non-Certified",1.0,.,.,.,.
,,"Special Education - Teachers and Instructors","Certified",1.0,.,.,.,.
,,"Library/Media - Specialists (Certified)","Certified",0.2,.,.,.,.
,"Myrtle H. Stevens School","Administrators  Coordinators and Department Chairs - School Level","Certified",0.6,1.0,1.0,1.0,1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.7,2.0,1.5,2.0,2.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",6.8,7.6,8.2,8.3,9.8
,,="General Education - Teachers and Instructors",="Certified",29.4,32.9,34.9,32.0,34.5
,,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",7.6,9.1,9.1,10.0,9.6
,,="School Nurses",="Non-Certified",2.0,2.0,2.0,2.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",18.5,16.3,16.2,11.0,8.7
,,="Special Education - Teachers and Instructors",="Certified",5.5,6.5,6.5,5.5,5.0
,,="Instructional Specialists Who Support Teachers",="Certified",2.9,1.9,4.0,4.0,2.0
,,="Library/Media - Specialists (Certified)",="Certified",0.8,1.0,1.0,1.0,1.0
,="Rocky Hill High School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",3.0,3.0,2.0,3.0,3.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",5.5,5.5,5.5,5.5,5.5
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",1.6,3.6,3.0,5.0,5.0
,,="General Education - Teachers and Instructors",="Certified",54.5,53.1,53.8,54.1,55.3
,,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",25.2,23.7,24.2,24.2,24.7
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,2.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",8.5,9.5,9.5,9.3,9.2
,,="Special Education - Teachers and Instructors",="Certified",6.5,6.5,6.5,6.0,6.0
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
,="West Hill School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.0,1.2
,,="Counselors  Social Workers  and School Psychologists",="Certified",2.0,2.0,2.0,2.0,2.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",6.6,6.9,6.9,6.9,11.0
,,="General Education - Teachers and Instructors",="Certified",35.0,34.5,33.5,33.5,36.0
,,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",10.1,10.6,11.1,9.4,10.4
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",6.5,5.5,6.0,13.3,16.8
,,="Special Education - Teachers and Instructors",="Certified",3.5,3.5,3.5,5.3,6.5
