"Chronic Absenteeism, Trend"
"All Districts, All Schools, Free/Reduced Price Meal Eligibility"

"",,,,,"% Chronically Absent",,,,
"Stonington School District","=""1370011""","SAILS","=""1370711""","Eligible For Free Lunch","N/A","N/A","N/A","N/A","*"
"Stonington School District","=""1370011""","SAILS","=""1370711""","Not Eligible For Lunch","N/A","N/A","N/A","N/A","*"
"Stonington School District","=""1370011""","SAILS","=""1370711""","Eligible For Reduced Lunch","N/A","N/A","N/A","N/A","*"
"Stonington School District","=""1370011""","Stonington High School","=""1376111""","Eligible For Free Lunch","*","*","*","*","*"
"Stonington School District","=""1370011""","Stonington High School","=""1376111""","Not Eligible For Lunch","*",4.3,1.3,2.6,1.9
"Stonington School District","=""1370011""","Stonington High School","=""1376111""","Eligible For Reduced Lunch",0.0,"*","*","*","*"
"Stonington School District","=""1370011""","West Broad Street School","=""1370411""","Eligible For Free Lunch","*","*","*","*","*"
"Stonington School District","=""1370011""","West Broad Street School","=""1370411""","Not Eligible For Lunch","*","*","*","*","*"
"Stonington School District","=""1370011""","West Broad Street School","=""1370411""","Eligible For Reduced Lunch","*","*","*","*","*"
"Stonington School District","=""1370011""","West Vine Street School","=""1370611""","Eligible For Free Lunch","*","*","*","*","*"
"Stonington School District","=""1370011""","West Vine Street School","=""1370611""","Not Eligible For Lunch","*",4.6,"*",8.1,"*"
"Stonington School District","=""1370011""","West Vine Street School","=""1370611""","Eligible For Reduced Lunch","*","*","*","*","*"
"Stratford School District","=""1380011""","Eli Whitney School","=""1381311""","Eligible For Free Lunch",14.7,11.8,12.8,12.6,17.9
"Stratford School District","=""1380011""","Eli Whitney School","=""1381311""","Not Eligible For Lunch",3.2,5.7,3.3,1.8,4.0
"Stratford School District","=""1380011""","Eli Whitney School","=""1381311""","Eligible For Reduced Lunch","*","*","*","*","*"
"Stratford School District","=""1380011""","ABA Nichols","=""1382511""","Eligible For Free Lunch","N/A","N/A","N/A","N/A","*"
"Stratford School District","=""1380011""","ABA Nichols","=""1382511""","Not Eligible For Lunch","N/A","N/A","N/A","N/A","*"
"Stratford School District","=""1380011""","ABA Second Hill Lane","=""1380611""","Eligible For Free Lunch","N/A","N/A","N/A","N/A","*"
"Stratford School District","=""1380011""","ABA Second Hill Lane","=""1380611""","Not Eligible For Lunch","N/A","N/A","N/A","*","*"
"Stratford School District","=""1380011""","ABA Whitney","=""1382411""","Eligible For Free Lunch","N/A","N/A","N/A","N/A","*"
"Stratford School District","=""1380011""","ABA Whitney","=""1382411""","Not Eligible For Lunch","N/A","N/A","N/A","N/A","*"
"Stratford School District","=""1380011""","ABA Whitney","=""1382411""","Eligible For Reduced Lunch","N/A","N/A","N/A","N/A","*"
"Stratford School District","=""1380011""","ALPHA","=""1380511""","Eligible For Free Lunch","N/A","N/A","N/A",60.9,77.8
"Stratford School District","=""1380011""","ALPHA","=""1380511""","Not Eligible For Lunch","N/A","N/A","N/A","*","*"
"Stratford School District","=""1380011""","ALPHA","=""1380511""","Eligible For Reduced Lunch","N/A","N/A","N/A","*","*"
"Stratford School District","=""1380011""","Bunnell High School","=""1386211""","Eligible For Free Lunch",26.9,22.0,22.9,18.2,24.6
"Stratford School District","=""1380011""","Bunnell High School","=""1386211""","Not Eligible For Lunch",10.4,14.9,10.1,9.8,10.6
"Stratford School District","=""1380011""","Bunnell High School","=""1386211""","Eligible For Reduced Lunch",10.5,10.8,10.2,10.3,13.2
"Stratford School District","=""1380011""","Chapel School","=""1380311""","Eligible For Free Lunch",13.3,12.6,14.1,7.3,10.0
"Stratford School District","=""1380011""","Chapel School","=""1380311""","Not Eligible For Lunch","*",5.6,4.7,"*","*"
"Stratford School District","=""1380011""","Chapel School","=""1380311""","Eligible For Reduced Lunch","*",10.5,9.5,"*","*"
"Stratford School District","=""1380011""","DLC Whitney","=""1382311""","Eligible For Free Lunch","N/A","N/A","N/A","N/A","*"
"Stratford School District","=""1380011""","DLC Whitney","=""1382311""","Not Eligible For Lunch","N/A","N/A","N/A","N/A","*"
"Stratford School District","=""1380011""","David Wooster Middle School","=""1385211""","Eligible For Free Lunch",13.3,21.4,18.8,18.2,28.2
"Stratford School District","=""1380011""","David Wooster Middle School","=""1385211""","Not Eligible For Lunch",6.2,10.8,"*","*",7.7
"Stratford School District","=""1380011""","David Wooster Middle School","=""1385211""","Eligible For Reduced Lunch",11.0,11.1,"*","*",17.0
"Stratford School District","=""1380011""","Franklin STEPS K-2","=""1382111""","Eligible For Free Lunch","N/A","N/A","N/A","*","*"
"Stratford School District","=""1380011""","Franklin STEPS K-2","=""1382111""","Eligible For Reduced Lunch","N/A","N/A","N/A","N/A","*"
"Stratford School District","=""1380011""","Franklin School","=""1380411""","Eligible For Free Lunch","*",18.6,16.1,16.1,"*"
"Stratford School District","=""1380011""","Franklin School","=""1380411""","Not Eligible For Lunch","*","*","*","*","*"
"Stratford School District","=""1380011""","Franklin School","=""1380411""","Eligible For Reduced Lunch",0.0,"*","*","*","*"
"Stratford School District","=""1380011""","Harry B. Flood Middle School","=""1385311""","Eligible For Free Lunch",15.5,22.3,21.8,19.2,17.8
"Stratford School District","=""1380011""","Harry B. Flood Middle School","=""1385311""","Not Eligible For Lunch",9.8,9.6,6.0,5.6,7.2
"Stratford School District","=""1380011""","Harry B. Flood Middle School","=""1385311""","Eligible For Reduced Lunch",9.1,15.2,8.0,10.3,13.2
"Stratford School District","=""1380011""","High School STEPS 9-12","=""1382011""","Eligible For Free Lunch","N/A","N/A","N/A","*","*"
"Stratford School District","=""1380011""","High School STEPS 9-12","=""1382011""","Not Eligible For Lunch","N/A","N/A","N/A","*","N/A"
"Stratford School District","=""1380011""","High School STEPS 9-12","=""1382011""","Eligible For Reduced Lunch","N/A","N/A","N/A","N/A","*"
"Stratford School District","=""1380011""","High School Sails","=""1380711""","Eligible For Free Lunch","N/A","N/A","N/A","*","*"
"Stratford School District","=""1380011""","High School Sails","=""1380711""","Not Eligible For Lunch","N/A","N/A","N/A","*","*"
"Stratford School District","=""1380011""","High School Sails","=""1380711""","Eligible For Reduced Lunch","N/A","N/A","N/A","*","*"
"Stratford School District","=""1380011""","Honeyspot School","=""1381611""","Eligible For Free Lunch","*","*","*","*","N/A"
"Stratford School District","=""1380011""","Honeyspot School","=""1381611""","Not Eligible For Lunch","*",6.8,5.2,"*","N/A"
"Stratford School District","=""1380011""","Honeyspot School","=""1381611""","Eligible For Reduced Lunch",0.0,"*","*","*","N/A"
"Stratford School District","=""1380011""","IPP Classroom - Johnson","=""1381111""","Eligible For Free Lunch","N/A","N/A","N/A","*","*"
"Stratford School District","=""1380011""","IPP Classroom - Johnson","=""1381111""","Not Eligible For Lunch","N/A","N/A","N/A","*","*"
"Stratford School District","=""1380011""","IPP Classroom - Johnson","=""1381111""","Eligible For Reduced Lunch","N/A","N/A","N/A","N/A","*"
"Stratford School District","=""1380011""","Intensive Need Classroom","=""1381711""","Eligible For Free Lunch","N/A","N/A","N/A","*","N/A"
"Stratford School District","=""1380011""","Intensive Need Classroom","=""1381711""","Not Eligible For Lunch","N/A","N/A","N/A","*","N/A"
"Stratford School District","=""1380011""","Johnson House STEPS 3-6","=""1381211""","Eligible For Free Lunch","N/A","N/A","N/A","*","*"
"Stratford School District","=""1380011""","Johnson House STEPS 3-6","=""1381211""","Not Eligible For Lunch","N/A","N/A","N/A","*","*"
"Stratford School District","=""1380011""","Johnson House STEPS 3-6","=""1381211""","Eligible For Reduced Lunch","N/A","N/A","N/A","N/A","*"
"Stratford School District","=""1380011""","Lordship School","=""1380811""","Eligible For Free Lunch",16.0,20.0,"*",14.4,"*"
"Stratford School District","=""1380011""","Lordship School","=""1380811""","Not Eligible For Lunch","*","*","*",6.3,10.9
"Stratford School District","=""1380011""","Lordship School","=""1380811""","Eligible For Reduced Lunch","*","*",0.0,0.0,"*"
"Stratford School District","=""1380011""","Middle School STEPS 7-8","=""1381911""","Eligible For Free Lunch","N/A","N/A","N/A","*","*"
"Stratford School District","=""1380011""","Middle School STEPS 7-8","=""1381911""","Not Eligible For Lunch","N/A","N/A","N/A","N/A","*"
"Stratford School District","=""1380011""","Middle School Sails","=""1381811""","Eligible For Free Lunch","N/A","N/A","N/A","*","*"
"Stratford School District","=""1380011""","Middle School Sails","=""1381811""","Not Eligible For Lunch","N/A","N/A","N/A","*","*"
"Stratford School District","=""1380011""","Middle School Sails","=""1381811""","Eligible For Reduced Lunch","N/A","N/A","N/A","*","N/A"
"Stratford School District","=""1380011""","Nichols School","=""1380911""","Eligible For Free Lunch",6.1,11.4,11.7,"*",10.2
"Stratford School District","=""1380011""","Nichols School","=""1380911""","Not Eligible For Lunch","*",5.8,"*","*","*"
"Stratford School District","=""1380011""","Nichols School","=""1380911""","Eligible For Reduced Lunch","*",0.0,"*",0.0,"*"
"Stratford School District","=""1380011""","Second Hill Lane School","=""1381011""","Eligible For Free Lunch",12.3,14.3,14.1,9.6,9.4
"Stratford School District","=""1380011""","Second Hill Lane School","=""1381011""","Not Eligible For Lunch",3.4,"*","*",3.2,"*"
"Stratford School District","=""1380011""","Second Hill Lane School","=""1381011""","Eligible For Reduced Lunch",8.3,"*","*",8.5,"*"
"Stratford School District","=""1380011""","Secondary STEPS Program","=""1389111""","Eligible For Free Lunch","*","*","*","N/A","N/A"
"Stratford School District","=""1380011""","Secondary STEPS Program","=""1389111""","Not Eligible For Lunch","*","*","*","N/A","N/A"
"Stratford School District","=""1380011""","Secondary STEPS Program","=""1389111""","Eligible For Reduced Lunch","*","*","*","N/A","N/A"
"Stratford School District","=""1380011""","Steps K-2 Nichols","=""1382611""","Eligible For Free Lunch","N/A","N/A","N/A","N/A","*"
"Stratford School District","=""1380011""","Steps K-2 Nichols","=""1382611""","Not Eligible For Lunch","N/A","N/A","N/A","N/A","*"
"Stratford School District","=""1380011""","Straford Academy - Victoria Soto School","=""1382211""","Eligible For Free Lunch","N/A","N/A","N/A","N/A","*"
"Stratford School District","=""1380011""","Straford Academy - Victoria Soto School","=""1382211""","Not Eligible For Lunch","N/A","N/A","N/A","N/A","*"
"Stratford School District","=""1380011""","Straford Academy - Victoria Soto School","=""1382211""","Eligible For Reduced Lunch","N/A","N/A","N/A","N/A","*"
"Stratford School District","=""1380011""","Stratford Academy - Johnson House","=""1381511""","Eligible For Free Lunch",6.6,14.7,"*",14.5,"*"
"Stratford School District","=""1380011""","Stratford Academy - Johnson House","=""1381511""","Not Eligible For Lunch","*","*",4.1,"*",2.4
"Stratford School District","=""1380011""","Stratford Academy - Johnson House","=""1381511""","Eligible For Reduced Lunch","*","*","*","*","*"
"Stratford School District","=""1380011""","Stratford High School","=""1386111""","Eligible For Free Lunch",24.2,27.1,32.0,28.4,32.8
"Stratford School District","=""1380011""","Stratford High School","=""1386111""","Not Eligible For Lunch",9.3,15.7,17.0,11.6,18.5
"Stratford School District","=""1380011""","Stratford High School","=""1386111""","Eligible For Reduced Lunch",12.6,20.0,23.3,14.0,19.0
"Stratford School District","=""1380011""","Strive-Stratford","=""1389011""","Eligible For Free Lunch","N/A","N/A","*","N/A","N/A"
"Stratford School District","=""1380011""","Strive-Stratford","=""1389011""","Not Eligible For Lunch","*","*","*","*","*"
"Stratford School District","=""1380011""","Wilcoxson School","=""1381411""","Eligible For Free Lunch",6.2,11.4,6.1,8.3,7.6
"Stratford School District","=""1380011""","Wilcoxson School","=""1381411""","Not Eligible For Lunch","*","*","*","*",2.6
"Stratford School District","=""1380011""","Wilcoxson School","=""1381411""","Eligible For Reduced Lunch","*","*","*","*",0.0
"Suffield School District","=""1390011""","A. Ward Spaulding School","=""1390411""","Eligible For Free Lunch","*","*","*","*","*"
"Suffield School District","=""1390011""","A. Ward Spaulding School","=""1390411""","Not Eligible For Lunch",4.3,6.5,14.2,"*",2.7
"Suffield School District","=""1390011""","A. Ward Spaulding School","=""1390411""","Eligible For Reduced Lunch","*","*","*","*","*"
"Suffield School District","=""1390011""","McAlister Intermediate School","=""1390311""","Eligible For Free Lunch","*","*","*","*","*"
"Suffield School District","=""1390011""","McAlister Intermediate School","=""1390311""","Not Eligible For Lunch",2.6,2.7,6.7,0.0,"*"
"Suffield School District","=""1390011""","McAlister Intermediate School","=""1390311""","Eligible For Reduced Lunch","*","*","*","*","*"
"Suffield School District","=""1390011""","Suffield High School","=""1396111""","Eligible For Free Lunch",31.3,"*","*","*","*"
"Suffield School District","=""1390011""","Suffield High School","=""1396111""","Not Eligible For Lunch",9.9,4.3,"*",2.9,7.3
"Suffield School District","=""1390011""","Suffield High School","=""1396111""","Eligible For Reduced Lunch",19.4,"*",0.0,"*","*"
"Suffield School District","=""1390011""","Suffield Middle School","=""1395111""","Eligible For Free Lunch",23.3,"*","*","*","*"
"Suffield School District","=""1390011""","Suffield Middle School","=""1395111""","Not Eligible For Lunch",5.6,5.6,4.4,0.0,2.4
